,track_popularity,duration_ms
0,41,235440
1,28,373512
2,0,262467
3,41,243067
4,65,193160
5,70,224720
6,52,286441
7,36,259267
8,42,188000
9,78,208133
10,1,188213
11,58,209165
12,69,211680
13,72,268960
14,74,226739
15,41,181693
16,8,239027
17,14,213947
18,71,265600
19,62,253830
20,33,208827
21,36,144380
22,49,147000
23,39,147568
24,32,180591
25,67,259800
26,59,227893
27,48,244733
28,68,376013
29,51,211875
30,66,158427
31,0,298125
32,49,189711
33,51,150714
34,62,190067
35,48,280640
36,75,196160
37,2,163527
38,28,143507
39,9,224392
40,1,282546
41,37,181875
42,30,161464
43,49,177377
44,38,232493
45,10,247907
46,44,211520
47,72,182741
48,58,207428
49,64,254000
50,50,419075
51,64,246213
52,41,208440
53,46,219786
54,56,122760
55,41,116240
56,27,324360
57,54,223960
58,45,304027
59,70,258853
60,73,184107
61,62,196664
62,1,193742
63,78,223045
64,44,209972
65,67,180560
66,8,172467
67,49,253444
68,0,143833
69,76,201627
70,54,186680
71,37,231000
72,42,325373
73,57,202478
74,67,261881
75,52,199247
76,12,381627
77,0,191227
78,2,231760
79,13,203000
80,54,286427
81,41,172000
82,66,192533
83,48,140250
84,47,198760
85,37,230507
86,77,159547
87,60,287920
88,39,186853
89,71,213507
90,38,190587
91,14,367500
92,69,235600
93,42,212364
94,66,234462
95,36,73813
96,60,147605
97,46,269053
98,75,206975
99,55,203051
100,45,251760
101,38,315707
102,69,208307
103,33,215966
104,57,262521
105,0,183067
106,51,222987
107,16,326827
108,37,180938
109,71,209531
110,50,229347
111,25,277509
112,46,188107
113,21,265667
114,64,213576
115,50,150020
116,37,303586
117,53,228040
118,11,195800
119,54,173340
120,49,195000
121,19,337027
122,47,206062
123,55,175027
124,74,263773
125,58,166364
126,52,179440
127,49,195400
128,24,287867
129,52,161040
130,0,256560
131,50,182960
132,1,220347
133,63,295227
134,52,350549
135,2,220386
136,63,233280
137,70,290707
138,74,347227
139,29,209778
140,79,228360
141,36,375000
142,33,142723
143,1,181959
144,51,195484
145,51,226667
146,56,196763
147,43,211762
148,0,207453
149,48,186943
150,47,201040
151,0,190933
152,56,275751
153,71,228240
154,37,86805
155,76,192172
156,9,183973
157,1,285000
158,10,235000
159,50,323760
160,76,180933
161,42,178835
162,55,303707
163,48,112000
164,35,78667
165,1,326040
166,16,253160
167,80,195519
168,73,165375
169,34,192613
170,39,167045
171,34,274133
172,1,235265
173,83,231848
174,35,259022
175,6,202893
176,39,217653
177,53,228837
178,52,203964
179,0,199447
180,69,193373
181,77,198694
182,35,240813
183,39,207560
184,14,248036
185,71,189000
186,5,309591
187,68,198125
188,68,188067
189,68,252773
190,59,268547
191,58,189274
192,34,230000
193,28,265238
194,43,289200
195,73,210227
196,69,234507
197,65,241840
198,41,246107
199,41,192000
200,55,192040
201,57,270533
202,29,305440
203,61,302001
204,31,496133
205,62,252534
206,42,188800
207,42,252427
208,68,198760
209,12,467585
210,54,153508
211,21,205450
212,56,167990
213,52,219906
214,51,170625
215,67,227027
216,62,192200
217,53,197251
218,63,209208
219,56,234293
220,30,289509
221,13,291782
222,28,154227
223,43,488693
224,79,217707
225,35,372427
226,69,166213
227,44,205600
228,47,169978
229,59,188091
230,72,228682
231,0,293307
232,66,231400
233,40,149253
234,0,151350
235,0,203053
236,59,255773
237,36,261853
238,31,158573
239,49,206875
