Local time in Moscow;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;Ee;sss
"01.01.2020 21:00";"-1.9";"745.5";"760.4";"0.3";"83";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"";"0.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"-4.5";"Trace of precipitation";"12";"";"";"";"";
"01.01.2020 18:00";"-3.0";"745.2";"760.2";"1.4";"77";"Wind blowing from the west-northwest";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"-6.5";"Trace of precipitation";"12";"";"";"";"";
"01.01.2020 15:00";"-2.3";"743.8";"758.8";"1.4";"71";"Wind blowing from the north-northwest";"2";"";"";"50%.";"Clouds generally dissolving or becoming less developed. ";"Shower(s).";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-6.9";"";"";"";"";"";"";
"01.01.2020 12:00";"-2.0";"742.4";"757.3";"3.4";"66";"Wind blowing from the north";"3";"";"11";"90  or more, but not 100%";"Clouds generally forming or developing. ";"Shower(s).";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-7.5";"";"";"";"";"";"";
"01.01.2020 09:00";"0.0";"739.0";"753.7";"3.6";"85";"Wind blowing from the north-northwest";"3";"";"10";"100%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-0.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"10.0";"-2.3";"0.9";"12";"";"";"Even layer of compact or wet snow covering ground completely.";"1.0";
"01.01.2020 06:00";"1.0";"735.4";"750.1";"2.2";"92";"Wind blowing from the north-northwest";"3";"";"";"100%.";"Snow shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"1.0";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"100%.";"600-1000";"";"";"";"-0.1";"0.9";"12";"";"";"";"";
"01.01.2020 03:00";"1.6";"733.2";"747.7";"1.1";"94";"Wind blowing from the west-northwest";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"0.7";"";"";"";"";"";"";
"01.01.2020 00:00";"1.7";"732.1";"746.5";"0.9";"94";"Wind blowing from the west";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"0.8";"";"";"";"";"";"";
"31.12.2019 21:00";"2.0";"731.2";"745.6";"0.4";"94";"Wind blowing from the west";"1";"";"";"100%.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"2.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"1.1";"0.4";"12";"";"";"";"";
"31.12.2019 18:00";"1.8";"730.8";"745.2";"0.0";"94";"Wind blowing from the west";"1";"";"";"100%.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"";"";"";"0.9";"0.4";"12";"";"";"";"";
"31.12.2019 15:00";"1.4";"730.8";"745.3";"-0.4";"94";"Wind blowing from the west";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"";"";"4.0";"0.6";"";"";"";"";"";"";
"31.12.2019 12:00";"1.4";"731.2";"745.7";"-0.6";"92";"Wind blowing from the west-southwest";"2";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"4.0";"0.3";"";"";"";"";"";"";
"31.12.2019 09:00";"1.1";"731.8";"746.4";"-0.6";"94";"Wind blowing from the west-southwest";"2";"";"";"100%.";"Mist. ";"Rain and snow or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-0.6";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"4.0";"0.2";"0.9";"12";"";"";"Even layer of compact or wet snow covering ground completely.";"2.0";
